mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Zacatecas,0,0,0,0,12,0,9,0,21
2026-02,Febrero 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Extranjeros,0,0,4,0,16,0,27,0,47
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Aguascalientes,3,0,23,0,3,0,6,0,35
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Baja California,0,0,4,0,4,0,4,0,12
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Baja California Sur,1,0,4,0,3,0,0,0,8
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Campeche,1,0,3,0,0,0,2,0,6
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Chiapas,1,0,15,0,3,0,4,0,23
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Chihuahua,0,0,26,0,12,0,38,0,76
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Ciudad de México,15,0,75,0,36,0,56,0,182
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Coahuila de Zaragoza,0,0,7,0,7,0,4,0,18
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Colima,0,0,0,0,5,0,5,0,10
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Durango,0,0,8,0,5,0,7,0,20
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Estado de México,6,0,94,0,23,0,34,0,157
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Guanajuato,3,0,32,0,209,0,232,0,476
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Guerrero,5,0,35,0,12,0,15,0,67
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Hidalgo,3,0,16,0,9,0,13,0,41
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Jalisco,2,0,12,0,55,0,99,0,168
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Michoacán de Ocampo,5,0,9,0,27,0,64,0,105
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Morelos,2,0,38,0,8,0,5,0,53
2026-02,Febrero 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Nayarit,1,0,14,0,9,0,8,0,32
