mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Chihuahua,6,0,34,0,22,0,49,0,111
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Ciudad de México,0,0,14,0,9,0,10,0,33
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Coahuila de Zaragoza,1,0,3,0,7,0,18,0,29
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Colima,0,0,3,0,0,0,1,0,4
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Durango,0,0,5,0,18,0,29,0,52
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Estado de México,5,0,94,0,17,0,16,0,132
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Guanajuato,1,0,53,0,13,0,9,0,76
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Guerrero,0,0,42,0,12,0,15,0,69
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Hidalgo,0,0,0,0,7,0,9,0,16
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Jalisco,3,0,9,0,17,0,10,0,39
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Michoacán de Ocampo,0,0,8,0,15,0,35,0,58
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Morelos,3,0,4,0,3,0,2,0,12
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Nayarit,0,0,0,0,9,0,8,0,17
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Nuevo León,4,0,40,0,13,0,13,0,70
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Oaxaca,0,0,1,0,13,0,11,0,25
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Puebla,2,0,0,0,8,0,6,0,16
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Querétaro,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Quintana Roo,0,0,5,0,0,0,0,0,5
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),San Luis Potosí,2,0,2,0,3,0,4,0,11
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Sinaloa,2,0,18,0,67,0,148,0,235
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Sonora,5,0,56,0,272,0,639,0,972
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tabasco,1,0,9,0,10,0,7,0,27
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tamaulipas,2,0,7,0,17,0,33,0,59
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Tlaxcala,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Veracruz de Ignacio de la Llave,6,0,14,0,11,0,14,0,45
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Yucatán,1,0,0,0,0,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Zacatecas,0,0,0,0,12,0,9,0,21
2026-03,Marzo 2026,CEFERESO No. 11 CPS Sonora,Privado (CPS),Extranjeros,0,0,4,0,15,0,27,0,46
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Aguascalientes,5,0,23,0,3,0,5,0,36
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Baja California,0,0,4,0,4,0,4,0,12
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Baja California Sur,1,0,4,0,3,0,0,0,8
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Campeche,1,0,3,0,0,0,2,0,6
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Chiapas,1,0,15,0,3,0,4,0,23
2026-03,Marzo 2026,CEFERESO No. 12 CPS Guanajuato,Privado (CPS),Chihuahua,0,0,26,0,12,0,37,0,75
